osmid,geometry,amenity,capacity,divvy:id,name,operator,element_type,network,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,payment:credit_cards,payment:app,payment:subscription
1488136857,POINT (-87.614492 41.89257),bicycle_rental,19,99,Lake Shore Dr & Ohio St,Divvy,node,,,,,,,,,,,,,,
2359402986,POINT (-87.6547874 41.8777261),bicycle_rental,15,21,Aberdeen St & Jackson Blvd,Divvy,node,,,,,,,,,,,,,,
2359403011,POINT (-87.6677 41.899643),bicycle_rental,15,30,Ashland Ave & Augusta Blvd,Divvy,node,,,,,,,,,,,,,,
2359403018,POINT (-87.64001500000001 41.87923),bicycle_rental,27,192,Canal St & Adams St,Divvy,node,,,,,,,,,,,,,,
2359403026,POINT (-87.6409891 41.8783906),bicycle_rental,22,638,Clinton St & Jackson Blvd,Divvy,node,,,,,,,,,,,,,,
2359403032,POINT (-87.63947 41.8807),bicycle_rental,23,191,Canal St & Monroe St,Divvy,node,,,,,,,,,,,,,,
2359403036,POINT (-87.63442879999999 41.926756),bicycle_rental,15,34,Cannon Dr & Fullerton Ave,Divvy,node,,,,,,,,,,,,,,
2359403067,POINT (-87.63387899999999 41.856802),bicycle_rental,11,218,Wells St & 19th St,Divvy,node,,,,,,,,,,,,,,
2359403073,POINT (-87.6318899 41.8845762),bicycle_rental,31,51,Clark St & Randolph St,Divvy,node,,,,,,,,,,,,,,
2359403074,POINT (-87.64154859999999 41.8856051),bicycle_rental,19,66,Clinton St & Lake St,Divvy,node,,,,,,,,,,,,,,
2359403075,POINT (-87.641082 41.8821571),bicycle_rental,23,77,Clinton St & Madison St,Divvy,node,,,,,,,,,,,,,,
2359403076,POINT (-87.6410947 41.8671323),bicycle_rental,15,57,Clinton St & Roosevelt Rd,Divvy,node,,,,,,,,,,,,,,
2359403077,POINT (-87.640795 41.875885),bicycle_rental,23,68,Clinton St & Tilden St,Divvy,node,,,,,,,,,,,,,,
2359403078,POINT (-87.6411634 41.8834589),bicycle_rental,31,91,Clinton St & Washington Blvd,Divvy,node,,,,,,,,,,,,,,
2359403079,POINT (-87.67771070000001 41.909404),bicycle_rental,19,69,Damen Ave & Pierce Ave,Divvy,node,,,,,,,,,,,,,,
2359403080,POINT (-87.64942189999999 41.910578),bicycle_rental,19,60,Dayton St & North Ave,Divvy,node,,,,,,,,,,,,,,
2359403081,POINT (-87.629791 41.8793564),bicycle_rental,19,37,Dearborn St & Adams St,Divvy,node,,,,,,,,,,,,,,
2359403082,POINT (-87.6295209 41.8813198),bicycle_rental,23,49,Dearborn St & Monroe St,Divvy,node,,,,,,,,,,,,,,
2359403083,POINT (-87.6295978 41.8841782),bicycle_rental,38,81,Daley Center Plaza,Divvy,node,,,,,,,,,,,,,,
2359403084,POINT (-87.6444479 41.888716),bicycle_rental,19,56,Desplaines St & Kinzie St,Divvy,node,,,,,,,,,,,,,,
2359403085,POINT (-87.62062 41.89186),bicycle_rental,15,24,Fairbanks Ct & Grand Ave,Divvy,node,Bixi,,,,,,,,,,,,,
2359403086,POINT (-87.6356384 41.896802),bicycle_rental,23,31,Franklin St & Chicago Ave,Divvy,node,,,,,,,,,,,,,,
2359403087,POINT (-87.6353211 41.877708),bicycle_rental,27,36,Franklin St & Jackson Blvd,Divvy,node,,,,,,,,,,,,,,
2359403088,POINT (-87.648445 41.891629),bicycle_rental,19,84,Milwaukee Ave & Grand Ave,Divvy,node,,,,,,,,,,,,,,
2359403089,POINT (-87.64661099999999 41.865861),bicycle_rental,15,55,Halsted St & James M Rochford St,Divvy,node,,,,,,,,,,,,,,
2359403090,POINT (-87.642746 41.880422),bicycle_rental,19,73,Jefferson St & Monroe St,Divvy,node,,,,,,,,,,,,,,
2359403091,POINT (-87.6418512 41.8938432),bicycle_rental,23,74,Kingsbury St & Erie St,Divvy,node,,,,,,,,,,,,,,
2359403092,POINT (-87.6305845 41.8759327),bicycle_rental,27,50,Clark St & Ida B Wells Dr,Divvy,node,,,,,,,,,,,,,,
2359403093,POINT (-87.61696999999999 41.88105),bicycle_rental,11,76,Lake Shore Dr & Monroe St,Divvy,node,,,,,,,,,,,,,,
2359403094,POINT (-87.642884 41.897764),bicycle_rental,27,48,Larrabee St & Kingsbury St,Divvy,node,Divvy,,,,,,,,,,,,,
2359403095,POINT (-87.64332 41.91468),bicycle_rental,15,28,Larrabee St & Menomonee St,Divvy,node,,,,,,,,,,,,,,
2359403096,POINT (-87.6435 41.91021),bicycle_rental,19,27,Larrabee St & North Ave,Divvy,node,Divvy,,,,,,,,,,,,,
2359403097,POINT (-87.6617217 41.8691439),bicycle_rental,15,19,Loomis St & Taylor St,Divvy,node,,,,,,,,,,,,,,
2359403099,POINT (-87.6554864 41.8694821),bicycle_rental,15,22,May St & Taylor St,Divvy,node,,,,,,,,,,,,,,
2359403100,POINT (-87.6173 41.89102),bicycle_rental,23,26,McClurg Ct & Illinois St,Divvy,node,,,,,,,,,,,,,,
2359403101,POINT (-87.6188346 41.8513752),bicycle_rental,15,62,McCormick Place,Divvy,node,,,,,,,,,,,,,,
2359403102,POINT (-87.6244334 41.8760656),bicycle_rental,15,45,Michigan Ave & Ida B Wells Dr,Divvy,node,,,,,,,,,,,,,,
2359403103,POINT (-87.6242893 41.8860581),bicycle_rental,23,52,Michigan Ave & Lake St,Divvy,node,,,,,,,,,,,,,,
2359403104,POINT (-87.6237766 41.9009604),bicycle_rental,15,85,Michigan Ave & Oak St,Divvy,node,,,,,,,,,,,,,,
2359403105,POINT (-87.62351 41.89766),bicycle_rental,23,25,Michigan Ave & Pearson St,Divvy,node,,,,,,,,,,,,,,
2359403106,POINT (-87.62406900000001 41.8833025),bicycle_rental,43,43,Michigan Ave & Washington St,Divvy,node,,,,,,,,,,,,,,
2359403107,POINT (-87.62408430000001 41.8810317),bicycle_rental,35,90,Millennium Park,Divvy,node,,,,,,,,,,,,,,
2359403108,POINT (-87.651073 41.858086),bicycle_rental,15,14,Morgan St & 18th St,Divvy,node,,,,,,,,,,,,,,
2359403109,POINT (-87.65350290000001 41.8946881),bicycle_rental,19,92,Carpenter St & Huron St,Divvy,node,,,,,,,,,,,,,,
2359403110,POINT (-87.6523049 41.8854833),bicycle_rental,15,71,Morgan St & Lake St,Divvy,node,,,,,,,,,,,,,,
2359403111,POINT (-87.61775900000001 41.865212),bicycle_rental,19,97,Field Museum,Divvy,node,,,,,,,,,,,,,,
2359403112,POINT (-87.66098390000001 41.8963734),bicycle_rental,15,86,Eckhart Park,Divvy,node,,,,,,,,,,,,,,
2359403113,POINT (-87.6626 41.90068),bicycle_rental,15,29,Noble St & Milwaukee Ave,Divvy,node,,,,,,,,,,,,,,
2359403114,POINT (-87.6540613 41.8963625),bicycle_rental,19,54,Ogden Ave & Chicago Ave,Divvy,node,,,,,,,,,,,,,,
2359403115,POINT (-87.637715 41.902924),bicycle_rental,15,23,Orleans St & Elm St,Divvy,node,,,,,,,,,,,,,,
2359403116,POINT (-87.619407 41.857611),bicycle_rental,15,338,Calumet Ave & 18th St,Divvy,node,,,,,,,,,,,,,,
2359403117,POINT (-87.65648659999999 41.8581806),bicycle_rental,15,15,Racine Ave & 18th St,Divvy,node,,,,,,,,,,,,,,
2359403118,POINT (-87.65703000000001 41.87464),bicycle_rental,19,32,Racine Ave & Congress Pkwy,Divvy,node,,,,,,,,,,,,,,
2359403119,POINT (-87.6583591 41.9255538),bicycle_rental,19,87,Racine Ave & Fullerton Ave,Divvy,node,,,,,,,,,,,,,,
2359403121,POINT (-87.6366209 41.9183118),bicycle_rental,19,94,Clark St & Armitage Ave,Divvy,node,,,,,,,,,,,,,,
2359403122,POINT (-87.65370799999999 41.9256019),bicycle_rental,15,67,Sheffield Ave & Fullerton Ave,Divvy,node,,,,,,,,,,,,,,
2359403123,POINT (-87.6534972 41.9095919),bicycle_rental,15,20,Sheffield Ave & Kingsbury St,Divvy,node,,,,,,,,,,,,,,
2359403124,POINT (-87.652855 41.913688),bicycle_rental,15,223,Sheffield Ave & Willow St,Divvy,node,,,,,,,,,,,,,,
2359403125,POINT (-87.6277292 41.8601214),bicycle_rental,15,72,State St & 16th St,Divvy,node,,,,,,,,,,,,,,
2359403126,POINT (-87.6277395 41.8739581),bicycle_rental,19,5,State St & Harrison St,Divvy,node,,,,,,,,,,,,,,
