osmid,geometry,created_by,element_type,crossing,highway,amenity,postal_code,ref,dispensing,healthcare,denomination,name,religion,recycling:cans,recycling:cardboard,recycling:clothes,recycling:glass_bottles,recycling:paper,recycling:plastic_bottles,recycling:plastic_packaging,recycling_type,post_box:type,royal_cypher,collection_times,operator,note,post_box:apertures,post_box:design,ferry,public_transport,access,parking,crossing_ref,atm,brand,brand:wikidata,brand:wikipedia,name:ja,opening_hours,barrier,source,official_name,changing_table,fee,wheelchair,toilets:wheelchair,addr:housename,addr:postcode,internet_access,microbrewery,website,capacity,covered,bicycle_parking,traffic_calming,cuisine,takeaway,entrance,phone,ref:navads,addr:city,addr:street,email,addr:housenumber,short_name,alt_name,disused,ref:pol_id,source:addr,source:opening_hours,diet:vegan,food,outdoor_seating,diet:gluten_free,diet:vegetarian,reservation,wikidata,location,tourism,is_in,shop,addr:country,source:location,layer,internet_access:fee,recycling:glass,office,uk_postcode_centroid,odbl,lit,fixme,type,source:collection_times,contact:email,contact:phone,fuel:GTL_diesel,fuel:diesel,fuel:octane_95,fuel:octane_98,payment:account_cards,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,capacity:disabled,spaces,description,real_ale,delivery,fax,smoking,name:en,name:gd,contact:website,internet_access:ssid,wikipedia,payment:credit_cards,level,male,fuel:gasoline,toilets,accommodation,emergency,healthcare:speciality,building,fhrs:id,backrest,leisure,payment:bitcoin,drive_through,url,booth,ref:duplicates,foot,bicycle,old_name,bottle,incoming,designation,wifi,shelter_type,wheelchair:description,facebook,recycling:cartons,recycling:magazines,recycling:newspaper,recycling:paper_packaging,charge,recycling:plastic,theatre:genre,lgbtq,vending,cash_in,payment:cards,payment:contactless,source:addr:postcode,payment:coins,payment:notes,addr:door,addr:floor,colour,material,seats,display,status,supervised,addr:state,telephone,motorcar,currency:GBP,sport,FIXME,mapillary,service:bicycle:rental,service:bicycle:repair,service:bicycle:retail,roof:height,recycling:batteries,recycling:electrical_appliances,recycling:green_waste,recycling:small_appliances,recycling:waste,recycling:wood,source:postcode,amenity_1,natural,SocEntMap,Social_Enterprise_Category,twitter,studio,social_facility:for,date,man_made,monitoring:bicycle,start_date,support,thermometer,visibility,brewery,horse,motor_vehicle,dogs,recycling:shoes,attribution,contact:twitter,restaurant,maxstay,service:bicycle:pump,car,socket:type2:output,indoor,branch,craft,social_facility,changing_table:count,female,payment:telephone_cards,recycling:organic,service:bicycle:tools,bin,country,diplomatic,recycling:scrap_metal,cyclestreets_id,name:de,door,waste,name:es,contact:facebook,parcel_receiving,parcel_sending,recycling:plastic_bags,bollard,service_times,maxheight,recycling:food,artwork_type,faces,nodes,area,bus,change_machine,loc_name,common_good_land,name:sco,building_1,building_2,operator:type,height,roof:shape,addr:suburb,ref:seedcode,name:af,name:it,name:ko,name:lt,name:ru,name:uk,theatre:type,landuse,addr:district,history,building:levels,surface,park_ride,capacity:parent,addr:place,heritage,source:capacity,place_of_worship,capacity:women,listed_status,old_railway_operator,beer_garden,building:colour,building:material,roof:colour,roof:material,fuel:unleaded,source:name,int_name,source:outline,fence_type,name:etymology:wikidata,service,smoothness,caravan,source:building,roof:levels,fuel:octane_100,denomination_1,fuel:lpg,ref:seed,source:geometry,fee:amount,not:addr:postcode,construction:amenity,compressed_air,construction,noname,self_service,ways
2914008,POINT (-4.320671 55.896043),JOSM,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25702791,POINT (-4.2401217 55.8630826),,node,traffic_signals,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26401416,POINT (-4.321842 55.8776354),,node,,,pharmacy,,,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26401937,POINT (-4.3131581 55.872485),JOSM,node,,,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26766909,POINT (-4.3061167 55.8716662),,node,,,place_of_worship,,,,,presbyterian,Glasgow Reformed Presbyterian Church,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26766910,POINT (-4.3042968 55.872551),,node,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26997530,POINT (-4.2842628 55.8728806),,node,,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27440807,POINT (-4.225039 55.856966),,node,,,recycling,,,,,,,,yes,yes,yes,yes,yes,yes,yes,container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27440813,POINT (-4.2127449 55.8589789),JOSM,node,,,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27440815,POINT (-4.2128384 55.8589038),Potlatch 0.10f,node,,,post_box,G31,G31 653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
