,index,geometry,center_x,center_y,center,pub,bar,post_box,post_office,parking_entrance,cinema,fuel,cafe,parking,,bicycle_parking,school,restaurant,place_of_worship,nightclub,bus_station,drinking_water,toilets,telephone,fast_food,library,bank,bench,pharmacy,music_venue,university,fountain,language_school,nursing_home,college,theatre,clinic,doctors,ice_cream,arts_centre,fire_station,police,planetarium,atm,taxi,car_rental,brokerage,car_sharing,clock,community_centre,dentist,gym,ferry_terminal,laundry,salon,hookah_lounge,waste_basket,vending_machine,event,social_centre,mortuary,social_facility,fixme,moving_storage,kindergarten,money_transfer,carpool,grave_yard,marketplace,car_wash,Corner Market,Pet grooming shop,stripclub,shelter,bbq,motorcycle_parking,footpath,picnic,recycling,prep_school,embassy,coworking_space,conference_centre,bicycle_rental,food_court,smoking_area,vintage and modern resale,dormitory,studio,mailbox,bicycle_repair_station,ranger_station,bureau_de_change,veterinary,training,dojo,credit_union,popcorn,spa,public_bookcase,harbourmaster,animal_shelter,childcare,music_school,doctors_offices,karaoke,ticket_validator,grocery,storage,loading_dock,table,car_pooling,hospital,water_fountain,charging_station,photo_booth,reception_desk,public_bath,bench;waste_basket,device_charging_station,restaurant;cafe,money_transfer; post_office,trolley_bay,events_venue,karaoke_box,preschool,concert_hall,courthouse,commercial,prison,boat_rental,storage_rental,swingerclub,office,biergarten,music_rehearsal_place,animal_boarding,cruise_terminal,parking_space,stable,place_of_worship;monastery,townhall
0,14,"POLYGON ((-123.173825 37.79031429999997, -123.163825 37.79031429999997, -123.163825 37.78031429999997, -123.173825 37.78031429999997, -123.173825 37.79031429999997))",-123.16882499999998,37.78531429999997,POINT (-123.168825 37.78531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,"POLYGON ((-123.173825 37.78031429999997, -123.163825 37.78031429999997, -123.163825 37.77031429999997, -123.173825 37.77031429999997, -123.173825 37.78031429999997))",-123.16882499999998,37.77531429999998,POINT (-123.168825 37.77531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,"POLYGON ((-123.173825 37.77031429999997, -123.163825 37.77031429999997, -123.163825 37.76031429999998, -123.173825 37.76031429999998, -123.173825 37.77031429999997))",-123.16882499999998,37.76531429999997,POINT (-123.168825 37.76531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,"POLYGON ((-123.173825 37.76031429999998, -123.163825 37.76031429999998, -123.163825 37.75031429999998, -123.173825 37.75031429999998, -123.173825 37.76031429999998))",-123.16882499999998,37.75531429999999,POINT (-123.168825 37.75531429999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43,"POLYGON ((-123.163825 37.80031429999997, -123.153825 37.80031429999997, -123.153825 37.79031429999997, -123.163825 37.79031429999997, -123.163825 37.80031429999997))",-123.15882499999998,37.79531429999998,POINT (-123.158825 37.79531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,44,"POLYGON ((-123.163825 37.79031429999997, -123.153825 37.79031429999997, -123.153825 37.78031429999997, -123.163825 37.78031429999997, -123.163825 37.79031429999997))",-123.15882499999998,37.78531429999997,POINT (-123.158825 37.78531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,45,"POLYGON ((-123.163825 37.78031429999997, -123.153825 37.78031429999997, -123.153825 37.77031429999997, -123.163825 37.77031429999997, -123.163825 37.78031429999997))",-123.15882499999998,37.77531429999998,POINT (-123.158825 37.77531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46,"POLYGON ((-123.163825 37.77031429999997, -123.153825 37.77031429999997, -123.153825 37.76031429999998, -123.163825 37.76031429999998, -123.163825 37.77031429999997))",-123.15882499999998,37.76531429999997,POINT (-123.158825 37.76531429999997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,47,"POLYGON ((-123.163825 37.76031429999998, -123.153825 37.76031429999998, -123.153825 37.75031429999998, -123.163825 37.75031429999998, -123.163825 37.76031429999998))",-123.15882499999998,37.75531429999999,POINT (-123.158825 37.75531429999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,48,"POLYGON ((-123.163825 37.75031429999998, -123.153825 37.75031429999998, -123.153825 37.74031429999998, -123.163825 37.74031429999998, -123.163825 37.75031429999998))",-123.15882499999998,37.745314299999976,POINT (-123.158825 37.74531429999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
