geometry,center_x,center_y,center,poly_area_km,bike_rental_density,animal_shelter_density,archive_density,arts_centre_density,atm_density,bank_density,bar_density,bench_density,bench;waste_basket_density,bicycle_parking_density,bicycle_repair_station_density,biergarten_density,bureau_de_change_density,bus_station_density,cafe_density,car_rental_density,car_sharing_density,car_wash_density,casino_density,charging_station_density,childcare_density,cinema_density,circus_school_density,clinic_density,clock_density,club_density,college_density,community_centre_density,compressed_air_density,conference_centre_density,courthouse_density,crematorium_density,dentist_density,device_charging_station_density,doctors_density,doctors_offices_density,drinking_water_density,embassy_density,events_venue_density,fast_food_density,ferry_terminal_density,fire_station_density,fountain_density,fuel_density,gallery_density,gambling_density,garden_density,grave_yard_density,grit_bin_density,hospital_density,ice_cream_density,jobcentre_density,kindergarten_density,language_school_density,left_luggage_density,library_density,life_boats_density,luggage_locker_density,marketplace_density,monastery_density,money_transfer_density,money_transfer; post_office_density,motorcycle_parking_density,music_school_density,music_venue_density,nightclub_density,nursing_home_density,parcel_lockers_density,parking_density,parking_entrance_density,parking_space_density,pharmacy_density,photo_booth_density,place_of_worship_density,place_of_worship;monastery_density,police_density,post_box_density,post_depot_density,post_office_density,prep_school_density,preschool_density,prison_density,pub_density,public_bath_density,public_bookcase_density,public_building_density,recycling_density,restaurant_density,restaurant;cafe_density,school_density,shelter_density,social_centre_density,social_facility_density,sport_density,stripclub_density,studio_density,swimming_pool_density,swingerclub_density,taxi_density,telephone_density,theatre_density,toilets_density,townhall_density,trailer_park_density,university_density,vending_machine_density,venue_density,veterinary_density,waste_basket_density,water_density,water_fountain_density
"POLYGON ((-123.173825 37.79031429999997, -123.163825 37.79031429999997, -123.163825 37.78031429999997, -123.173825 37.78031429999997, -123.173825 37.79031429999997))",-123.16882499999998,37.78531429999997,POINT (-123.168825 37.78531429999997),1.5679918518568863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.173825 37.78031429999997, -123.163825 37.78031429999997, -123.163825 37.77031429999997, -123.173825 37.77031429999997, -123.173825 37.78031429999997))",-123.16882499999998,37.77531429999998,POINT (-123.168825 37.77531429999998),1.5677797394942468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.173825 37.77031429999997, -123.163825 37.77031429999997, -123.163825 37.76031429999998, -123.173825 37.76031429999998, -123.173825 37.77031429999997))",-123.16882499999998,37.76531429999997,POINT (-123.168825 37.76531429999997),1.5675677322563661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.173825 37.76031429999998, -123.163825 37.76031429999998, -123.163825 37.75031429999998, -123.173825 37.75031429999998, -123.173825 37.76031429999998))",-123.16882499999998,37.75531429999999,POINT (-123.168825 37.75531429999999),1.5673558300862236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.163825 37.80031429999997, -123.153825 37.80031429999997, -123.153825 37.79031429999997, -123.163825 37.79031429999997, -123.163825 37.80031429999997))",-123.15882499999998,37.79531429999998,POINT (-123.158825 37.79531429999998),1.5682040693955714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.163825 37.79031429999997, -123.153825 37.79031429999997, -123.153825 37.78031429999997, -123.163825 37.78031429999997, -123.163825 37.79031429999997))",-123.15882499999998,37.78531429999997,POINT (-123.158825 37.78531429999997),1.5679918518542626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.163825 37.78031429999997, -123.153825 37.78031429999997, -123.153825 37.77031429999997, -123.163825 37.77031429999997, -123.163825 37.78031429999997))",-123.15882499999998,37.77531429999998,POINT (-123.158825 37.77531429999998),1.5677797394916233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.163825 37.77031429999997, -123.153825 37.77031429999997, -123.153825 37.76031429999998, -123.163825 37.76031429999998, -123.163825 37.77031429999997))",-123.15882499999998,37.76531429999997,POINT (-123.158825 37.76531429999997),1.5675677322537431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.163825 37.76031429999998, -123.153825 37.76031429999998, -123.153825 37.75031429999998, -123.163825 37.75031429999998, -123.163825 37.76031429999998))",-123.15882499999998,37.75531429999999,POINT (-123.158825 37.75531429999999),1.5673558300836012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POLYGON ((-123.163825 37.75031429999998, -123.153825 37.75031429999998, -123.153825 37.74031429999998, -123.163825 37.74031429999998, -123.163825 37.75031429999998))",-123.15882499999998,37.745314299999976,POINT (-123.158825 37.74531429999998),1.5671440329272863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
