index,geometry,center_x,center_y,center,poly_area_km
14,"POLYGON ((-123.173825 37.79031429999997, -123.163825 37.79031429999997, -123.163825 37.78031429999997, -123.173825 37.78031429999997, -123.173825 37.79031429999997))",-123.16882499999998,37.78531429999997,POINT (-123.168825 37.78531429999997),1.5679918518568863
15,"POLYGON ((-123.173825 37.78031429999997, -123.163825 37.78031429999997, -123.163825 37.77031429999997, -123.173825 37.77031429999997, -123.173825 37.78031429999997))",-123.16882499999998,37.77531429999998,POINT (-123.168825 37.77531429999998),1.5677797394942468
16,"POLYGON ((-123.173825 37.77031429999997, -123.163825 37.77031429999997, -123.163825 37.76031429999998, -123.173825 37.76031429999998, -123.173825 37.77031429999997))",-123.16882499999998,37.76531429999997,POINT (-123.168825 37.76531429999997),1.5675677322563661
17,"POLYGON ((-123.173825 37.76031429999998, -123.163825 37.76031429999998, -123.163825 37.75031429999998, -123.173825 37.75031429999998, -123.173825 37.76031429999998))",-123.16882499999998,37.75531429999999,POINT (-123.168825 37.75531429999999),1.5673558300862236
43,"POLYGON ((-123.163825 37.80031429999997, -123.153825 37.80031429999997, -123.153825 37.79031429999997, -123.163825 37.79031429999997, -123.163825 37.80031429999997))",-123.15882499999998,37.79531429999998,POINT (-123.158825 37.79531429999998),1.5682040693955714
44,"POLYGON ((-123.163825 37.79031429999997, -123.153825 37.79031429999997, -123.153825 37.78031429999997, -123.163825 37.78031429999997, -123.163825 37.79031429999997))",-123.15882499999998,37.78531429999997,POINT (-123.158825 37.78531429999997),1.5679918518542626
45,"POLYGON ((-123.163825 37.78031429999997, -123.153825 37.78031429999997, -123.153825 37.77031429999997, -123.163825 37.77031429999997, -123.163825 37.78031429999997))",-123.15882499999998,37.77531429999998,POINT (-123.158825 37.77531429999998),1.5677797394916233
46,"POLYGON ((-123.163825 37.77031429999997, -123.153825 37.77031429999997, -123.153825 37.76031429999998, -123.163825 37.76031429999998, -123.163825 37.77031429999997))",-123.15882499999998,37.76531429999997,POINT (-123.158825 37.76531429999997),1.5675677322537431
47,"POLYGON ((-123.163825 37.76031429999998, -123.153825 37.76031429999998, -123.153825 37.75031429999998, -123.163825 37.75031429999998, -123.163825 37.76031429999998))",-123.15882499999998,37.75531429999999,POINT (-123.158825 37.75531429999999),1.5673558300836012
48,"POLYGON ((-123.163825 37.75031429999998, -123.153825 37.75031429999998, -123.153825 37.74031429999998, -123.163825 37.74031429999998, -123.163825 37.75031429999998))",-123.15882499999998,37.745314299999976,POINT (-123.158825 37.74531429999998),1.5671440329272863
